2019-04-02 23:15:44.3815||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding user: user5 |url: |action: 
2019-04-02 23:15:44.4106||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding user: user6 |url: |action: 
2019-04-02 23:15:44.4284||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding user: user7 |url: |action: 
2019-04-02 23:15:44.4461||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding user: user8 |url: |action: 
2019-04-02 23:15:44.4635||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding user: user9 |url: |action: 
2019-04-02 23:15:44.4833||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding user: user10 |url: |action: 
2019-04-02 23:15:44.5012||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding admin: adminuser1 |url: |action: 
2019-04-02 23:15:44.5012||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding category: 4812464d-8273-475e-8ddb-9f2c00112e91 |url: |action: 
2019-04-02 23:15:44.5173||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding advertisement to: 4812464d-8273-475e-8ddb-9f2c00112e91 |url: |action: 
2019-04-02 23:15:44.5364||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding admin: adminuser2 |url: |action: 
2019-04-02 23:15:44.5364||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding category: 3ea909e8-9ca3-4ddf-89e5-13cea9264eec |url: |action: 
2019-04-02 23:15:44.5364||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding advertisement to: 3ea909e8-9ca3-4ddf-89e5-13cea9264eec |url: |action: 
2019-04-02 23:15:44.5594||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding admin: adminuser3 |url: |action: 
2019-04-02 23:15:44.5594||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding category: 23515fbc-76d2-44fc-b946-41f518bd21e6 |url: |action: 
2019-04-02 23:15:44.5620||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding advertisement to: 23515fbc-76d2-44fc-b946-41f518bd21e6 |url: |action: 
2019-04-02 23:15:44.5856||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding admin: adminuser4 |url: |action: 
2019-04-02 23:15:44.5856||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding category: fff5bab5-6ef7-4fab-96a9-23757c07eb3a |url: |action: 
2019-04-02 23:15:44.5856||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding advertisement to: fff5bab5-6ef7-4fab-96a9-23757c07eb3a |url: |action: 
